state,population,avg_poverty,weighted_avg_distance_km,underserved_population,pct_underserved
ANDAMAN & NICOBAR,318187.0,,1202.0377627403575,318187.0,100.0
LADAKH,1544595.0,0.014257360959651036,211.46764930094864,1544595.0,100.0
ARUNACHAL PRADESH,1657412.0,0.05504504504504505,113.42199741823956,1393189.0,84.05809780549436
GOA,1187263.0,0.0075625,65.67475416401801,957374.0,80.63706188098172
HIMACHAL PRADESH,7781527.0,0.022986078886310903,83.27666210699753,6104952.0,78.45442160645334
PUDUCHERRY,470128.0,0.008333333333333333,66.61911266581102,357388.0,76.01929687234114
JAMMU & KASHMIR,20600072.0,0.02756122448979592,90.04360980182643,15480909.0,75.14978102989154
JHARKHAND,39371225.0,0.14561473087818697,69.40001205792758,28301422.0,71.88351899134457
TELANGANA,38967567.0,0.027669456066945607,71.85296656280968,25292707.0,64.90707259193267
MEGHALAYA,3994492.0,0.1429381443298969,82.16218716680758,2355220.0,58.96169024747077
MADHYA PRADESH,85305264.0,0.09335216434336024,59.90080234393035,49165180.0,57.63440342907795
ANDHRA PRADESH,54309138.0,0.026644055433989785,59.87895531503903,30811763.0,56.73403065244747
GUJARAT,69764002.0,0.054607378129117264,91.4034126890958,37959742.0,54.411646281416026
MIZORAM,1271198.0,0.03146961325966851,59.037226374750404,679762.0,53.47412440862871
NAGALAND,1826490.0,0.07520138888888889,51.10938540576862,969271.0,53.06741345422094
CHHATTISGARH,30431249.0,0.0981232993197279,64.6436617417102,16049054.0,52.738729192482374
ODISHA,46930223.0,0.08663197026022305,74.73233842560424,23582459.0,50.25004675558435
UTTAR PRADESH,236080431.0,0.11019573115349683,52.50715537304208,114870222.0,48.657240040365735
TRIPURA,4415749.0,0.06538095238095239,48.11530559179488,2079513.0,47.0930979093241
UTTARAKHAND,11647461.0,0.033654471544715445,57.743275331658126,5440841.0,46.71267841120052
WEST BENGAL,102224605.0,0.06248924731182795,51.84736745129009,47739107.0,46.70021175430318
ASSAM,36209334.0,0.08036465638148668,56.12224035221964,16481941.0,45.51848702878655
MAHARASHTRA,127726566.0,0.038705128205128204,34.92267062901446,41041605.0,32.13239522935268
TAMIL NADU,81014853.0,0.009546478873239436,34.49420128115401,22554943.0,27.84050351853382
PUNJAB,31370231.0,0.0208771186440678,34.14437988546978,7716592.0,24.598454502933052
RAJASTHAN,80440602.0,0.07158211382113822,35.19900154502713,19200138.0,23.86871495566381
KARNATAKA,69618538.0,0.03603293971410814,29.998733259466153,13732730.0,19.72567996185154
MANIPUR,3293607.0,0.06546231155778895,28.194925072148024,570497.0,17.321344046208306
KERALA,32371075.0,0.0028718750000000003,30.801184630291385,4449495.0,13.745280315837519
SIKKIM,628918.0,0.01707692307692308,27.99225239669007,61049.0,9.706988828432323
BIHAR,125279232.0,0.161188457008245,26.87835388516452,10882435.0,8.686543512654994
HARYANA,29505702.0,0.029622871046228714,18.0556721641001,360330.0,1.221221579476401
DADRA & NAGAR HAVE,457690.0,0.045,19.427893734030185,0.0,0.0
CHANDIGARH,1071672.0,0.017,1.4387504902812007,0.0,0.0
DELHI,18405530.0,0.015285714285714286,2.7063681424025896,0.0,0.0
DAMAN & DIU,244450.0,0.029,12.30858905275607,0.0,0.0
